Logger:         	MadelineProto
MTProto:        	Initing authorization DC 5...
MTProto:        	Done initing authorization DC 5
MTProto:        	Initing authorization DC 2_media...
MTProto:        	Done initing authorization DC 2_media
MTProto:        	Initing authorization DC 4_media...
MTProto:        	Done initing authorization DC 4_media
Session:        	Can't garbage collect msg_container in DC 1, not handled yet!
Session:        	Garbage collected 0 incoming messages in DC 1, 1 left
Session:        	Garbage collected 0 outgoing messages in DC 1, 1 left
MTProto:        	Initing authorization...
MTProto:        	Initing authorization DC 2...
MTProto:        	Done initing authorization DC 2
MTProto:        	Initing authorization DC 1...
MTProto:        	Done initing authorization DC 1
MTProto:        	Initing authorization DC 3...
MTProto:        	Done initing authorization DC 3
MTProto:        	Initing authorization DC 4...
MTProto:        	Done initing authorization DC 4
MTProto:        	Initing authorization DC 5...
MTProto:        	Done initing authorization DC 5
MTProto:        	Initing authorization DC 2_media...
MTProto:        	Done initing authorization DC 2_media
MTProto:        	Initing authorization DC 4_media...
MTProto:        	Done initing authorization DC 4_media
AckHandler:     	Could not find users.getUsers with message ID 7119560659997556736 in new_outgoing!
MTProto:        	AUTH_KEY_UNREGISTERED
Exception:      	stream_socket_server(): Unable to connect to unix:///mnt/e/src/talkback/session/talkback.session.ipc (Unknown error) in IpcServer.php:101
Exception:      	stream_socket_server(): Unable to connect to unix:///mnt/e/src/talkback/session/talkback.session.callback.ipc (Unknown error) in IpcServer.php:101
MTProto:        	Starting update system
API:            	MadelineProto is ready!
SessionPaths:   	Waiting for exclusive lock of /mnt/e/src/talkback/session/talkback.session.ipcState.php.lock...
SessionPaths:   	Got exclusive lock of /mnt/e/src/talkback/session/talkback.session.ipcState.php.lock...
Session:        	Garbage collected 4 incoming messages in DC 1, 0 left
Session:        	Garbage collected 1 outgoing messages in DC 1, 0 left
MTProto:        	Accepted IPC client connection!
Server:         	Exception in IPC connection: Amp\ByteStream\ClosedException: The stream was closed by the peer in /mnt/e/src/talkback/vendor/amphp/byte-stream/lib/ResourceOutputStream.php:196
Stack trace:
#0 /mnt/e/src/talkback/vendor/amphp/byte-stream/lib/ResourceOutputStream.php(157): Amp\ByteStream\ResourceOutputStream->send()
#1 /mnt/e/src/talkback/vendor/danog/ipc/lib/Sync/ChannelledStream.php(51): Amp\ByteStream\ResourceOutputStream->write()
#2 [internal function]: Amp\Ipc\Sync\ChannelledStream->Amp\Ipc\Sync\{closure}()
#3 /mnt/e/src/talkback/vendor/amphp/amp/lib/Coroutine.php(67): Generator->current()
#4 /mnt/e/src/talkback/vendor/amphp/amp/lib/functions.php(96): Amp\Coroutine->__construct()
#5 /mnt/e/src/talkback/vendor/danog/ipc/lib/Sync/ChannelledStream.php(55): Amp\call()
#6 /mnt/e/src/talkback/vendor/danog/ipc/lib/Sync/ChannelledSocket.php(71): Amp\Ipc\Sync\ChannelledStream->send()
#7 [internal function]: Amp\Ipc\Sync\ChannelledSocket->Amp\Ipc\Sync\{closure}()
#8 /mnt/e/src/talkback/vendor/amphp/amp/lib/Coroutine.php(118): Generator->send()
#9 /mnt/e/src/talkback/vendor/amphp/amp/lib/Internal/Placeholder.php(149): Amp\Coroutine->Amp\{closure}()
#10 /mnt/e/src/talkback/vendor/amphp/amp/lib/Coroutine.php(123): Amp\Coroutine->resolve()
#11 /mnt/e/src/talkback/vendor/amphp/amp/lib/Internal/Placeholder.php(149): Amp\Coroutine->Amp\{closure}()
#12 /mnt/e/src/talkback/vendor/amphp/amp/lib/Deferred.php(53): Amp\Promise@anonymous->resolve()
#13 /mnt/e/src/talkback/vendor/amphp/byte-stream/lib/ResourceInputStream.php(101): Amp\Deferred->resolve()
#14 /mnt/e/src/talkback/vendor/amphp/amp/lib/Loop/NativeDriver.php(327): Amp\ByteStream\ResourceInputStream::Amp\ByteStream\{closure}()
#15 /mnt/e/src/talkback/vendor/amphp/amp/lib/Loop/NativeDriver.php(127): Amp\Loop\NativeDriver->selectStreams()
#16 /mnt/e/src/talkback/vendor/amphp/amp/lib/Loop/Driver.php(138): Amp\Loop\NativeDriver->dispatch()
#17 /mnt/e/src/talkback/vendor/amphp/amp/lib/Loop/Driver.php(72): Amp\Loop\Driver->tick()
#18 /mnt/e/src/talkback/vendor/amphp/amp/lib/Loop.php(95): Amp\Loop\Driver->run()
#19 /mnt/e/src/talkback/vendor/danog/madelineproto/src/danog/MadelineProto/Tools.php(294): Amp\Loop::run()
#20 /mnt/e/src/talkback/vendor/danog/madelineproto/src/danog/MadelineProto/Ipc/Runner/entry.php(110): danog\MadelineProto\Tools::wait()
#21 /mnt/e/src/talkback/vendor/danog/madelineproto/src/danog/MadelineProto/Ipc/Runner/entry.php(134): {closure}()
#22 {main}

Next Amp\Ipc\Sync\ChannelException: Sending on the channel failed. Did the context die? in /mnt/e/src/talkback/vendor/danog/ipc/lib/Sync/ChannelledStream.php:53
Stack trace:
#0 [internal function]: Amp\Ipc\Sync\ChannelledStream->Amp\Ipc\Sync\{closure}()
#1 /mnt/e/src/talkback/vendor/amphp/amp/lib/Coroutine.php(115): Generator->throw()
#2 /mnt/e/src/talkback/vendor/amphp/amp/lib/Failure.php(33): Amp\Coroutine->Amp\{closure}()
#3 /mnt/e/src/talkback/vendor/amphp/amp/lib/Coroutine.php(151): Amp\Failure->onResolve()
#4 /mnt/e/src/talkback/vendor/amphp/amp/lib/functions.php(96): Amp\Coroutine->__construct()
#5 /mnt/e/src/talkback/vendor/danog/ipc/lib/Sync/ChannelledStream.php(55): Amp\call()
#6 /mnt/e/src/talkback/vendor/danog/ipc/lib/Sync/ChannelledSocket.php(71): Amp\Ipc\Sync\ChannelledStream->send()
#7 [internal function]: Amp\Ipc\Sync\ChannelledSocket->Amp\Ipc\Sync\{closure}()
#8 /mnt/e/src/talkback/vendor/amphp/amp/lib/Coroutine.php(118): Generator->send()
#9 /mnt/e/src/talkback/vendor/amphp/amp/lib/Internal/Placeholder.php(149): Amp\Coroutine->Amp\{closure}()
#10 /mnt/e/src/talkback/vendor/amphp/amp/lib/Coroutine.php(123): Amp\Coroutine->resolve()
#11 /mnt/e/src/talkback/vendor/amphp/amp/lib/Internal/Placeholder.php(149): Amp\Coroutine->Amp\{closure}()
#12 /mnt/e/src/talkback/vendor/amphp/amp/lib/Deferred.php(53): Amp\Promise@anonymous->resolve()
#13 /mnt/e/src/talkback/vendor/amphp/byte-stream/lib/ResourceInputStream.php(101): Amp\Deferred->resolve()
#14 /mnt/e/src/talkback/vendor/amphp/amp/lib/Loop/NativeDriver.php(327): Amp\ByteStream\ResourceInputStream::Amp\ByteStream\{closure}()
#15 /mnt/e/src/talkback/vendor/amphp/amp/lib/Loop/NativeDriver.php(127): Amp\Loop\NativeDriver->selectStreams()
#16 /mnt/e/src/talkback/vendor/amphp/amp/lib/Loop/Driver.php(138): Amp\Loop\NativeDriver->dispatch()
#17 /mnt/e/src/talkback/vendor/amphp/amp/lib/Loop/Driver.php(72): Amp\Loop\Driver->tick()
#18 /mnt/e/src/talkback/vendor/amphp/amp/lib/Loop.php(95): Amp\Loop\Driver->run()
#19 /mnt/e/src/talkback/vendor/danog/madelineproto/src/danog/MadelineProto/Tools.php(294): Amp\Loop::run()
#20 /mnt/e/src/talkback/vendor/danog/madelineproto/src/danog/MadelineProto/Ipc/Runner/entry.php(110): danog\MadelineProto\Tools::wait()
#21 /mnt/e/src/talkback/vendor/danog/madelineproto/src/danog/MadelineProto/Ipc/Runner/entry.php(134): {closure}()
#22 {main}
GarbageCollector: 	gc_collect_cycles done. Cleaned memory: 1 Mb
SessionPaths:   	Waiting for exclusive lock of /mnt/e/src/talkback/session/talkback.session.safe.php.lock...
SessionPaths:   	Got exclusive lock of /mnt/e/src/talkback/session/talkback.session.safe.php.lock...
SessionPaths:   	Waiting for exclusive lock of /mnt/e/src/talkback/session/talkback.session.lightState.php.lock...
SessionPaths:   	Got exclusive lock of /mnt/e/src/talkback/session/talkback.session.lightState.php.lock...
APIWrapper:     	Saved session!
PingLoop:       	Ping DC 1.0
PingLoop:       	Ping DC 2.0
PingLoop:       	Ping DC 3.0
PingLoop:       	Ping DC 4.0
PingLoop:       	Ping DC 5.0
Session:        	Garbage collected 0 outgoing messages in DC 2, 1 left
Session:        	Garbage collected 0 outgoing messages in DC 4, 1 left
Session:        	Garbage collected 1 outgoing messages in DC 1, 1 left
Session:        	Garbage collected 0 outgoing messages in DC 5, 1 left
Session:        	Garbage collected 0 outgoing messages in DC 3, 1 left
Session:        	Garbage collected 3 incoming messages in DC 2, 0 left
Session:        	Garbage collected 1 outgoing messages in DC 2, 0 left
Session:        	Garbage collected 3 incoming messages in DC 4, 0 left
Session:        	Garbage collected 1 outgoing messages in DC 4, 0 left
Session:        	Garbage collected 3 incoming messages in DC 5, 0 left
Session:        	Garbage collected 1 outgoing messages in DC 5, 0 left
Session:        	Garbage collected 3 incoming messages in DC 3, 0 left
Session:        	Garbage collected 1 outgoing messages in DC 3, 0 left
Session:        	Garbage collected 1 incoming messages in DC 1, 0 left
Session:        	Garbage collected 1 outgoing messages in DC 1, 0 left
SessionPaths:   	Waiting for exclusive lock of /mnt/e/src/talkback/session/talkback.session.safe.php.lock...
SessionPaths:   	Got exclusive lock of /mnt/e/src/talkback/session/talkback.session.safe.php.lock...
SessionPaths:   	Waiting for exclusive lock of /mnt/e/src/talkback/session/talkback.session.lightState.php.lock...
SessionPaths:   	Got exclusive lock of /mnt/e/src/talkback/session/talkback.session.lightState.php.lock...
APIWrapper:     	Saved session!
SessionPaths:   	Waiting for exclusive lock of /mnt/e/src/talkback/session/talkback.session.safe.php.lock...
SessionPaths:   	Got exclusive lock of /mnt/e/src/talkback/session/talkback.session.safe.php.lock...
SessionPaths:   	Waiting for exclusive lock of /mnt/e/src/talkback/session/talkback.session.lightState.php.lock...
SessionPaths:   	Got exclusive lock of /mnt/e/src/talkback/session/talkback.session.lightState.php.lock...
APIWrapper:     	Saved session!
PingLoop:       	Ping DC 3.0
PingLoop:       	Ping DC 1.0
PingLoop:       	Ping DC 2.0
PingLoop:       	Ping DC 4.0
PingLoop:       	Ping DC 5.0
Session:        	Garbage collected 1 outgoing messages in DC 2, 1 left
Session:        	Garbage collected 1 outgoing messages in DC 5, 1 left
Session:        	Garbage collected 1 outgoing messages in DC 4, 1 left
Session:        	Garbage collected 1 outgoing messages in DC 3, 1 left
Session:        	Garbage collected 0 outgoing messages in DC 1, 1 left
Session:        	Garbage collected 1 incoming messages in DC 2, 0 left
Session:        	Garbage collected 1 outgoing messages in DC 2, 0 left
Session:        	Garbage collected 0 outgoing messages in DC 5, 1 left
Session:        	Garbage collected 0 outgoing messages in DC 4, 1 left
Session:        	Garbage collected 1 incoming messages in DC 1, 0 left
Session:        	Garbage collected 1 outgoing messages in DC 1, 0 left
Session:        	Garbage collected 1 incoming messages in DC 3, 0 left
Session:        	Garbage collected 1 outgoing messages in DC 3, 0 left
SessionPaths:   	Waiting for exclusive lock of /mnt/e/src/talkback/session/talkback.session.safe.php.lock...
SessionPaths:   	Got exclusive lock of /mnt/e/src/talkback/session/talkback.session.safe.php.lock...
SessionPaths:   	Waiting for exclusive lock of /mnt/e/src/talkback/session/talkback.session.lightState.php.lock...
SessionPaths:   	Got exclusive lock of /mnt/e/src/talkback/session/talkback.session.lightState.php.lock...
APIWrapper:     	Saved session!
Session:        	Garbage collected 1 incoming messages in DC 4, 0 left
Session:        	Garbage collected 1 outgoing messages in DC 4, 0 left
Session:        	Garbage collected 1 incoming messages in DC 5, 0 left
Session:        	Garbage collected 1 outgoing messages in DC 5, 0 left
MTProto:        	Accepted IPC client connection!
Login:          	Logging in as a bot...
Session:        	Garbage collected 0 outgoing messages in DC 1, 1 left
MTProto:        	Initing authorization...
MTProto:        	Initing authorization DC 2...
AuthKeyHandler: 	Trying to copy authorization from DC 4 to DC 2
Session:        	Garbage collected 1 incoming messages in DC 4, 0 left
Session:        	Garbage collected 2 outgoing messages in DC 4, 1 left
Session:        	Garbage collected 1 incoming messages in DC 1, 0 left
Session:        	Garbage collected 1 outgoing messages in DC 1, 0 left
Session:        	Garbage collected 0 outgoing messages in DC 2, 1 left
Session:        	Garbage collected 1 incoming messages in DC 4, 0 left
Session:        	Garbage collected 1 outgoing messages in DC 4, 0 left
MTProto:        	Done initing authorization DC 2
MTProto:        	Initing authorization DC 1...
AuthKeyHandler: 	Trying to copy authorization from DC 4 to DC 1
MTProto:        	Initing authorization DC 3...
AuthKeyHandler: 	Trying to copy authorization from DC 4 to DC 3
MTProto:        	Initing authorization DC 4...
MTProto:        	Done initing authorization DC 4
MTProto:        	Initing authorization DC 5...
AuthKeyHandler: 	Trying to copy authorization from DC 4 to DC 5
Session:        	Garbage collected 1 incoming messages in DC 2, 0 left
Session:        	Garbage collected 1 outgoing messages in DC 2, 0 left
Session:        	Garbage collected 1 outgoing messages in DC 4, 3 left
MTProto:        	Done initing authorization DC 1
MTProto:        	Done initing authorization DC 3
Session:        	Garbage collected 0 outgoing messages in DC 5, 1 left
Session:        	Garbage collected 1 incoming messages in DC 3, 0 left
Session:        	Garbage collected 1 outgoing messages in DC 3, 0 left
Session:        	Garbage collected 1 incoming messages in DC 1, 0 left
Session:        	Garbage collected 2 outgoing messages in DC 1, 0 left
Session:        	Garbage collected 5 incoming messages in DC 4, 0 left
Session:        	Garbage collected 3 outgoing messages in DC 4, 0 left
MTProto:        	Done initing authorization DC 5
MTProto:        	Initing authorization DC 2_media...
MTProto:        	Done initing authorization DC 2_media
MTProto:        	Initing authorization DC 4_media...
MTProto:        	Done initing authorization DC 4_media
MTProto:        	Starting update system
Login:          	Logged in successfully!
MTProto:        	Accepted IPC client connection!
MTProto:        	Prompting final serialization (SHUTDOWN)...
SessionPaths:   	Waiting for exclusive lock of /mnt/e/src/talkback/session/talkback.session.safe.php.lock...
SessionPaths:   	Got exclusive lock of /mnt/e/src/talkback/session/talkback.session.safe.php.lock...
SessionPaths:   	Waiting for exclusive lock of /mnt/e/src/talkback/session/talkback.session.lightState.php.lock...
SessionPaths:   	Got exclusive lock of /mnt/e/src/talkback/session/talkback.session.lightState.php.lock...
APIWrapper:     	Saved session!
MTProto:        	Done final serialization (SHUTDOWN)!
API:            	Shutting down MadelineProto (danog\MadelineProto\API)
MTProto:        	Will unreference instance
UpdateLoop:     	Exiting getUpdate loop generic due to signal
DataCenterConnection: 	Disconnecting from shared DC 2
Connection:     	Disconnecting from DC 2.0
DataCenterConnection: 	Backed up  from DC 2.0
Connection:     	Disconnected from DC 2.0
DataCenterConnection: 	Backed up 0, added to 0 existing messages) from DC 2
DataCenterConnection: 	Disconnecting from shared DC 1
Connection:     	Disconnecting from DC 1.0
DataCenterConnection: 	Backed up  from DC 1.0
Connection:     	Disconnected from DC 1.0
DataCenterConnection: 	Backed up 0, added to 0 existing messages) from DC 1
DataCenterConnection: 	Disconnecting from shared DC 2_media
Connection:     	Disconnecting from DC 2_media.0
DataCenterConnection: 	Backed up  from DC 2_media.0
Connection:     	Disconnected from DC 2_media.0
Connection:     	Disconnecting from DC 2_media.1
DataCenterConnection: 	Backed up  from DC 2_media.1
Connection:     	Disconnected from DC 2_media.1
Connection:     	Disconnecting from DC 2_media.2
DataCenterConnection: 	Backed up  from DC 2_media.2
Connection:     	Disconnected from DC 2_media.2
Connection:     	Disconnecting from DC 2_media.3
DataCenterConnection: 	Backed up  from DC 2_media.3
Connection:     	Disconnected from DC 2_media.3
Connection:     	Disconnecting from DC 2_media.4
DataCenterConnection: 	Backed up  from DC 2_media.4
Connection:     	Disconnected from DC 2_media.4
DataCenterConnection: 	Backed up 0, added to 0 existing messages) from DC 2_media
DataCenterConnection: 	Disconnecting from shared DC 3
Connection:     	Disconnecting from DC 3.0
DataCenterConnection: 	Backed up  from DC 3.0
Connection:     	Disconnected from DC 3.0
DataCenterConnection: 	Backed up 0, added to 0 existing messages) from DC 3
DataCenterConnection: 	Disconnecting from shared DC 4
Connection:     	Disconnecting from DC 4.0
DataCenterConnection: 	Backed up  from DC 4.0
Connection:     	Disconnected from DC 4.0
DataCenterConnection: 	Backed up 0, added to 0 existing messages) from DC 4
DataCenterConnection: 	Disconnecting from shared DC 4_media
Connection:     	Disconnecting from DC 4_media.0
DataCenterConnection: 	Backed up  from DC 4_media.0
Connection:     	Disconnected from DC 4_media.0
Connection:     	Disconnecting from DC 4_media.1
DataCenterConnection: 	Backed up  from DC 4_media.1
Connection:     	Disconnected from DC 4_media.1
Connection:     	Disconnecting from DC 4_media.2
DataCenterConnection: 	Backed up  from DC 4_media.2
Connection:     	Disconnected from DC 4_media.2
Connection:     	Disconnecting from DC 4_media.3
DataCenterConnection: 	Backed up  from DC 4_media.3
Connection:     	Disconnected from DC 4_media.3
Connection:     	Disconnecting from DC 4_media.4
DataCenterConnection: 	Backed up  from DC 4_media.4
Connection:     	Disconnected from DC 4_media.4
DataCenterConnection: 	Backed up 0, added to 0 existing messages) from DC 4_media
DataCenterConnection: 	Disconnecting from shared DC 5
Connection:     	Disconnecting from DC 5.0
DataCenterConnection: 	Backed up  from DC 5.0
Connection:     	Disconnected from DC 5.0
DataCenterConnection: 	Backed up 0, added to 0 existing messages) from DC 5
MTProto:        	Unreferenced instance
Serialization:  	Unlocking exclusive session lock!
Serialization:  	Unlocked exclusive session lock!
MTProto:        	Shutting down MadelineProto (MTProto)
MTProto:        	Will unreference instance
DataCenterConnection: 	Disconnecting from shared DC 2
DataCenterConnection: 	Backed up 0, added to 0 existing messages) from DC 2
DataCenterConnection: 	Disconnecting from shared DC 1
DataCenterConnection: 	Backed up 0, added to 0 existing messages) from DC 1
DataCenterConnection: 	Disconnecting from shared DC 2_media
DataCenterConnection: 	Backed up 0, added to 0 existing messages) from DC 2_media
DataCenterConnection: 	Disconnecting from shared DC 3
DataCenterConnection: 	Backed up 0, added to 0 existing messages) from DC 3
DataCenterConnection: 	Disconnecting from shared DC 4
DataCenterConnection: 	Backed up 0, added to 0 existing messages) from DC 4
DataCenterConnection: 	Disconnecting from shared DC 4_media
DataCenterConnection: 	Backed up 0, added to 0 existing messages) from DC 4_media
DataCenterConnection: 	Disconnecting from shared DC 5
DataCenterConnection: 	Backed up 0, added to 0 existing messages) from DC 5
MTProto:        	Unreferenced instance
MTProto:        	Successfully destroyed MadelineProto
Server:         	Exception in IPC connection: Amp\Ipc\Sync\ChannelException: The channel closed unexpectedly. Did the context die? in /mnt/e/src/talkback/vendor/danog/ipc/lib/Sync/ChannelledStream.php:72
Stack trace:
#0 [internal function]: Amp\Ipc\Sync\ChannelledStream->Amp\Ipc\Sync\{closure}()
#1 /mnt/e/src/talkback/vendor/amphp/amp/lib/Coroutine.php(118): Generator->send()
#2 /mnt/e/src/talkback/vendor/amphp/amp/lib/Internal/Placeholder.php(149): Amp\Coroutine->Amp\{closure}()
#3 /mnt/e/src/talkback/vendor/amphp/amp/lib/Deferred.php(53): Amp\Promise@anonymous->resolve()
#4 /mnt/e/src/talkback/vendor/amphp/byte-stream/lib/ResourceInputStream.php(198): Amp\Deferred->resolve()
#5 /mnt/e/src/talkback/vendor/amphp/byte-stream/lib/ResourceInputStream.php(259): Amp\ByteStream\ResourceInputStream->free()
#6 [internal function]: Amp\ByteStream\ResourceInputStream->__destruct()
#7 {main}
Logger:         	MadelineProto
Logger:         	Copyright (C) 2016-2022 Daniil Gentili
Logger:         	Licensed under AGPLv3
Logger:         	https://github.com/danog/MadelineProto
Serialization:  	It seems like the session is busy.
Serialization:  	Telegram does not support starting multiple instances of the same session, make sure no other instance of the session is running.
Serialization:  	Still waiting for exclusive session lock...
Serialization:  	Still waiting for exclusive session lock...
Serialization:  	Still waiting for exclusive session lock...
Serialization:  	Still waiting for exclusive session lock...
Serialization:  	Still waiting for exclusive session lock...
API:            	!!! Could not connect to MadelineProto, please check and report the logs for more details. !!!
API:            	!!! Reconnecting using slower method. !!!
Serialization:  	Still waiting for exclusive session lock...
Serialization:  	It seems like the session is busy.
